kode_golongan;kode_bidang;kode_kelompok;nama_kelompok
1;0;0;PERSEDIAAN
1;1;0;BARANG PAKAI HABIS
1;1;1;BAHAN
1;1;2;SUKU CADANG
1;1;3;ALAT/BAHAN UNTUK KEGIATAN KANTOR
1;1;4;OBAT-OBATAN
1;1;5;PERSEDIAAN UNTUK DIJUAL/DISERAHKAN
1;1;6;PERSEDIAAN UNTUK TUJUAN STRATEGIS/BERJAGA-JAGA
1;1;7;NATURA DAN PAKAN
1;1;8;PERSEDIAAN PENELITIAN BIOLOGI
1;2;0;BARANG TAK HABIS PAKAI
1;2;1;KOMPONEN
1;2;2;P I P A
1;2;3;RAMBU-RAMBU
1;3;0;BARANG BEKAS DIPAKAI
1;3;1;KOMPONEN BEKAS DAN PIPA BEKAS
2;0;0;TANAH
2;1;0;TANAH DESA
2;1;1;TANAH KAS DESA
2;1;2;TANAH PERKAMPUNGAN
2;1;3;TANAH PERTANIAN
2;1;4;TANAH PERKEBUNAN
2;1;5;TANAH HUTAN
2;1;6;TANAH KEBUN CAMPURAN
2;1;7;TANAH KOLAM IKAN
2;1;8;TANAH DANAU / RAWA
2;1;9;TANAH TANDUS / RUSAK
2;1;10;TANAH ALANG-ALANG DAN PADANG RUMPUT
2;1;11;TANAH PERTAMBANGAN
2;1;12;TANAH UNTUK BANGUNAN GEDUNG
2;1;13;TANAH UNTUK BANGUNAN BUKAN GEDUNG
2;1;14;TANAH PENGGUNAAN LAINNYA
3;0;0;PERALATAN DAN MESIN
3;1;0;ALAT BESAR
3;1;1;ALAT BESAR DARAT
3;1;2;ALAT BESAR APUNG
3;1;3;ALAT BANTU
3;2;0;ALAT ANGKUTAN
3;2;1;ALAT ANGKUTAN DARAT BERMOTOR
3;2;2;ALAT ANGKUTAN DARAT TAK BERMOTOR
3;2;3;ALAT ANGKUTAN APUNG BERMOTOR
3;2;4;ALAT ANGKUTAN APUNG TAK BERMOTOR
3;3;0;ALAT BENGKEL DAN ALAT UKUR
3;3;1;ALAT BENGKEL BERMESIN
3;3;2;ALAT BENGKEL TAK BERMESIN
3;3;3;ALAT UKUR
3;4;0;ALAT PERTANIAN
3;4;1;ALAT PENGOLAHAN
3;5;0;ALAT KANTOR & RUMAH TANGGA
3;5;1;ALAT KANTOR
3;5;2;ALAT RUMAH TANGGA
3;6;0;ALAT STUDIO, KOMUNIKASI DAN PEMANCAR
3;6;1;ALAT STUDIO
3;6;2;ALAT KOMUNIKASI
3;6;3;PERALATAN PEMANCAR
3;6;4;PERALATAN KOMUNIKASI NAVIGASI
3;7;0;KOMPUTER
3;7;1;KOMPUTER UNIT
3;7;2;PERALATAN KOMPUTER
3;8;0;ALAT PENGEBORAN
3;8;1;ALAT PENGEBORAN MESIN
3;8;2;ALAT PENGEBORAN NON MESIN
3;9;0;ALAT PRODUKSI, PENGOLAHAN DAN PEMURNIAN
3;9;1;SUMUR
3;9;2;PRODUKSI
3;9;3;PENGOLAHAN DAN PEMURNIAN
3;10;0;PERALATAN OLAH RAGA
3;10;1;PERALATAN OLAH RAGA
4;0;0;GEDUNG DAN BANGUNAN
4;1;0;BANGUNAN GEDUNG
4;1;1;BANGUNAN GEDUNG TEMPAT KERJA
4;2;0;MONUMEN
4;2;1;CANDI/TUGU PERINGATAN/PRASASTI
5;0;0;JALAN, IRIGASI DAN JARINGAN
5;1;0;JALAN DAN JEMBATAN
5;1;1;JALAN
5;1;2;JEMBATAN
5;2;0;BANGUNAN AIR
5;2;1;BANGUNAN AIR IRIGASI
5;2;2;BANGUNAN PENGAIRAN PASANG SURUT
5;2;3;BANGUNAN PENGEMBANGAN RAWA DAN POLDER
5;2;4;BANGUNAN PENGAMAN SUNGAI/PANTAI & PENANGGULANGAN BENCANA ALAM
5;2;5;BANGUNAN PENGEMBANGAN SUMBER AIR DAN AIR TANAH
5;2;6;BANGUNAN AIR BERSIH/AIR BAKU
5;2;7;BANGUNAN AIR KOTOR
5;3;0;INSTALASI
5;3;1;INSTALASI AIR BERSIH / AIR BAKU
5;3;2;INSTALASI AIR KOTOR
5;3;3;INSTALASI PENGOLAHAN SAMPAH
5;3;4;INSTALASI PENGOLAHAN BAHAN BANGUNAN
5;3;5;INSTALASI PEMBANGKIT LISTRIK
5;3;6;INSTALASI GARDU LISTRIK
5;3;7;INSTALASI LAIN
5;4;0;JARINGAN
5;4;1;JARINGAN AIR MINUM
5;4;2;JARINGAN LISTRIK
5;4;3;JARINGAN TELEPON
5;4;4;JARINGAN GAS
6;0;0;ASET TETAP LAINNYA
6;1;0;BAHAN PERPUSTAKAAN
6;1;1;BAHAN PERPUSTAKAAN TERCETAK
6;1;2;BAHAN PERPUSTAKAAN TEREKAM DAN BENTUK MIKRO
6;1;3;KARTOGRAFI, NASKAH DAN LUKISAN
6;2;0;BARANG BERCORAK KESENIAN/KEBUDAYAAN/OLAHRAGA
6;2;1;BARANG BERCORAK KESENIAN
6;2;2;ALAT BERCORAK KEBUDAYAAN
6;2;3;TANDA PENGHARGAAN BIDANG OLAH RAGA
6;3;0;HEWAN
6;3;1;HEWAN PIARAAN
6;3;2;TERNAK
6;3;3;HEWAN LAINNYA
6;4;0;IKAN
6;4;1;IKAN BERSIRIP (PISCES/IKAN BERSIRIP)
6;4;2;CRUSTEA (UDANG, RAJUNGAN, KEPITING, DAN SEBANGSANYA)
6;4;3;MOLLUSCA (KERANG, TIRAM, CUMI-CUMI, GURITA, SIPUT, DAN SEBANGSANYA)
6;4;4;COELENTERATA (UBUR-UBUR DAN SEBANGSANYA)
6;4;5;ECHINODERMATA (TRIPANG, BULU BABI, DAN SEBANGSANYA)
6;4;6;AMPHIBIA (KODOK DAN SEBANGSANYA)
6;4;7;REPTILIA (BUAYA, PENYU, KURA-KURA, BIAWAK, ULAR AIR, DAN SEBANGSANYA
6;4;8;MAMMALIA (PAUS, LUMBA-LUMBA, PESUT, DUYUNG, DAN SEBANGSANYA)
6;4;9;ALGAE (RUMPUT LAUT DAN TUMBUH-TUMBUHAN LAIN YANG HIDUP DI DALAM AIR)
6;4;10;BIOTA PERAIRAN LAINNYA
6;5;0;TANAMAN
6;5;1;TANAMAN
6;6;0;ASET TETAP DALAM  RENOVASI
6;6;1;ASET TETAP DALAM  RENOVASI
7;0;0;KONSTRUKSI DALAM PENGERJAAN
7;1;0;KONSTRUKSI DALAM PENGERJAAN
7;1;1;KONSTRUKSI DALAM PENGERJAAN
8;0;0;ASET TAK BERWUJUD
8;1;0;ASET TAK BERWUJUD
8;1;1;ASET TAK BERWUJUD
8;2;0;ASET TAK BERWUJUD DALAM PENGERJAAN
8;2;1;ASET TAK BERWUJUD DALAM PENGERJAAN
